Complexity,Loss,Equation
1,0.9999998,"-0.00012767976"
2,0.9843749,"sin(x608)"
3,0.85497844,"x561 * -0.38081145"
4,0.8048887,"sin(x549 - x561)"
5,0.79594934,"sin(x549 - sin(x561))"
6,0.74216044,"sin(x561 * (x549 + x119))"
7,0.7207107,"(x356 + (x119 + x561)) * -0.29819813"
8,0.68733156,"sin((x356 + (x875 + x561)) * x119)"
9,0.6841614,"sin((x549 * x356) + sin(x119 - x561))"
10,0.6553405,"sin(x352) * ((x887 + (x549 + x659)) + x356)"
11,0.65394896,"sin(sin(x352)) * (((x549 + x356) + x561) + x887)"
12,0.63574356,"sin((((x119 + x561) + x356) + x352) * x549) * 1.4092622"
13,0.63096184,"sin(sin(x119 - x561) + (x356 * x549)) + (x714 * x352)"
14,0.6053825,"sin((x119 * x561) + ((x356 * x549) - x842)) + (x714 * x352)"
15,0.6013253,"sin(x119 + (sin((x356 * x549) - x561) - x842)) + (x352 * x714)"
