Complexity,Loss,Equation
1,212.61082,"x3"
2,23.218853,"14.316308"
4,21.605206,"x3 + 13.820403"
6,16.64966,"(x3 + x1) * 13.609922"
7,13.143137,"sin(x3 + x1) * 18.309156"
8,10.023908,"(x0 + (x1 + x3)) * 9.447212"
9,7.7300024,"(x3 + sin(x0 + x1)) * 11.28365"
10,7.427676,"(x1 + ((x4 + x0) + x3)) * 7.166998"
11,6.7848773,"(sin(x1 + x0) + x3) * (x4 + 10.776806)"
12,6.460597,"(x3 + (((x1 + x0) + x3) + x4)) * 5.7208195"
13,6.053969,"(sin(x1 + ((x4 + x1) * x0)) + x3) * 11.769822"
14,3.859953,"(x3 + (sin(x0 * (x1 * 3.1658463)) + x4)) * 9.298922"
15,3.149802,"((x3 + sin(x4)) + sin((x0 * x1) * 3.16485)) * 9.5906725"
16,2.8134959,"(sin((x0 * x1) * 3.164568) + (sin(sin(x4)) + x3)) * 9.802247"
17,2.5595634,"((x4 * 0.56994665) + (sin((x0 * 3.1666217) * x1) + x3)) * 10.84228"
18,2.475772,"(10.386169 - x4) * (sin((x0 * x1) * 3.1677446) + (sin(sin(x4)) + x3))"
19,2.399763,"(10.991524 - x4) * (x3 + ((x4 * 0.6806758) + sin((x1 * 3.16824) * x0)))"
20,2.2798676,"(((sin((x1 * x0) * 3.1574092) + x3) + (x4 * 0.5152922)) * 9.9306755) - -1.6405836"
21,1.8996398,"(10.141292 - sin(x2 * 3.5913537)) * (sin(x4) + (x3 + sin((x0 * x1) * 3.1551874)))"
22,1.5704924,"((sin(sin(x4)) + x3) + sin(x0 * (x1 * 3.1543827))) * (10.349279 - sin(x2 * 3.6085756))"
23,1.3471975,"(sin(x0 * (x1 * 3.1580606)) + (sin(x4) + x3)) * ((10.73138 - sin(x2 * 3.601408)) - x4)"
24,1.1613642,"((3.8750374 - sin(x2 * 3.1287704)) * ((x3 + sin((x1 * 3.1499476) * x0)) + sin(x4))) * 2.9734635"
25,0.44955784,"((sin((x1 * x0) * 3.150892) + x4) + x3) * (12.771569 - ((sin(x2 * 3.1497266) + x4) * 2.7756796))"
26,0.008052969,"(((sin((x0 * x1) * 3.137719) + x3) * 9.998473) + 4.8531537) - ((sin(x2 * 3.1365185) - x4) * 4.9309397)"
28,0.0075330464,"((((x3 + sin(x0 * (x1 * 3.1375782))) + x4) * 9.974736) + 4.7864633) - ((sin(x2 * 3.1374683) + x4) * 4.902892)"
