Complexity,Loss,Equation
1,212.61082,"x3"
2,23.218853,"14.316308"
4,21.605206,"x3 + 13.8204"
6,16.64966,"(x3 + x1) * 13.609922"
7,13.143137,"sin(x3 + x1) * 18.309155"
8,10.023908,"((x3 + x1) + x0) * 9.447212"
9,7.7300024,"(sin(x0 + x1) + x3) * 11.283644"
10,7.427676,"((x4 + x0) + (x3 + x1)) * 7.166999"
11,6.7848773,"(sin(x0 + x1) + x3) * (x4 + 10.776539)"
12,6.460597,"((x3 + ((x1 + x4) + x0)) + x3) * 5.7208242"
13,6.132791,"((x4 + 10.269678) + x4) * (x3 + sin(x1 + x0))"
14,3.8599539,"(x3 + (x4 + sin((x1 * x0) * 3.165923))) * 9.298778"
15,3.149802,"(sin(x4) + (sin((x1 * 3.1648526) * x0) + x3)) * 9.590672"
16,2.8134954,"(sin((x0 * x1) * 3.1645691) + (sin(sin(x4)) + x3)) * 9.802247"
17,2.5595634,"((x3 + (x4 * 0.56994736)) + sin((x1 * x0) * 3.166614)) * 10.842281"
18,2.475772,"(x3 + (sin((x0 * 3.1677463) * x1) + sin(sin(x4)))) * (10.38617 - x4)"
19,2.399763,"(sin(x1 * (x0 * 3.1682317)) + (x3 + (x4 * 0.68067133))) * (10.991546 - x4)"
20,2.2798676,"((sin((x1 * 3.1574233) * x0) + ((x4 * 0.5153847) + x3)) + 0.165047) * 9.931328"
23,2.2000313,"(((x4 * 0.6260059) + sin((x0 * 3.1661468) * x1)) + x3) * (((x2 - x4) * x2) + 10.582913)"
24,1.2442034,"(((x3 + (((x2 + x4) - 1.5092846) * x2)) + sin(x1 * (x0 * 3.1411607))) * 10.064502) + 5.7747517"
25,1.1222541,"((x3 + (sin(x1 * (x0 * 3.144153)) + (x2 * (x2 + (sin(x4) - 1.4648271))))) * 10.242454) + 5.6134486"
26,0.6783305,"(((sin((x0 * 3.135514) * x1) + (x2 * ((x2 + (x4 - 2.516144)) + x2))) + x3) * 9.829267) + 7.662746"
27,0.5317145,"(((sin((x0 * 3.1339195) * x1) + (sin(x2) * (((x2 + x4) + x2) - 2.5518901))) + x3) * 9.973268) + 7.575865"
28,0.47128445,"((sin(x0 * (x1 * 3.1335564)) + ((sin(sin(x2)) * (x2 + (x2 + (x4 - 2.5866477)))) + x3)) * 10.062397) + 7.531464"
29,5.4626628e-9,"(((((x4 * 0.50000006) + x3) + ((x2 + (x2 + -1.9999996)) * x2)) + sin(x0 * (x1 * 3.1415544))) * 10.000006) + 5.000007"
