Complexity,Loss,Equation
1,388390.1,"x0"
2,384930.34,"59.690315"
3,365708.53,"x0 / x1"
4,326327.84,"2.2748291 / x1"
5,316471.3,"sqrt(6839.5293 / x1)"
6,136161.72,"167.05084 / (x3 + x1)"
8,9520.094,"(x2 / x1) / (x3 + 0.00063638965)"
10,6961.0073,"(x2 / x1) / (x3 + (x1 * 0.0029416573))"
12,4383.666,"((x2 / ((0.0029416573 * x1) + x3)) - x0) / x1"
13,4218.0244,"((x2 / ((0.0029416573 * x1) + x3)) - sqrt(x0)) / x1"
14,2735.5269,"((x2 * (sqrt(x2) / (x3 + 0.0008481169))) / x1) * 1.3031111"
15,2357.4802,"((sqrt(sqrt(x1)) / x1) / (x3 + (x1 * 0.0069523817))) / 0.42392144"
17,2023.3114,"((sqrt(sqrt(x1)) / x1) / (x3 + (x1 * 0.004293095))) / (x1 + 0.41630346)"
18,1724.3474,"(((x2 * (x3 + sqrt(x0))) + sqrt(x1)) / x1) / (x3 + (x1 * 0.004988142))"
20,1247.8075,"(sqrt(sqrt(x1) + ((x2 * x2) * (x0 + x3))) / x1) / ((x1 * 0.004029132) + x3)"
21,825.623,"(((sqrt(sqrt(x0 * x2)) * (x2 + x3)) + sqrt(x1)) / x1) / (x3 + (x1 * 0.004873796))"
23,774.7608,"((((x3 + x2) * sqrt(sqrt(x2 * x0))) + sqrt(x1)) / x1) / (x3 + ((x1 + x3) * 0.004864946))"
24,734.41254,"(((((x2 + x3) * sqrt(sqrt(x0 * x2))) + sqrt(x1)) / x1) / ((x1 * 0.0048606223) + x3)) / 1.012925"
26,536.60046,"(sqrt(((x2 * x2) * (sqrt(x3) + (x0 * x2))) + sqrt(x1 / 0.31996566)) / x1) / ((x1 * 0.004587322) + x3)"
28,535.2006,"((sqrt((((sqrt(x3) + (x0 * x2)) * x2) * x2) + sqrt(x1 / 0.31996566)) / x1) / (x3 + (x1 * 0.004587322))) - x1"
30,534.4515,"(((sqrt(sqrt(x1 / 0.31996566) + ((sqrt(x3) + (x0 * x2)) * (x2 * x2))) / x1) / ((x1 * 0.004587322) + x3)) - x1) - x1"
