Complexity,Loss,Equation
1,388390.1,"x0"
2,384930.34,"59.680237"
3,365708.53,"x0 / x1"
4,326327.84,"2.2748291 / x1"
5,316471.3,"82.69796 / sqrt(x1)"
6,136161.72,"167.04025 / (x1 + x3)"
8,9520.093,"(x2 / x1) / (x3 + 0.0006363375)"
10,6961.0073,"x2 / (((x1 * 0.0029414487) + x3) * x1)"
12,6800.9116,"(x1 + x2) / (((x1 * 0.0040327013) + x3) * x1)"
13,2748.8928,"x2 / (x1 * ((x3 / (x2 + 0.40369943)) + 0.00079197146))"
14,2687.7883,"(x2 / (((x3 / sqrt(x2)) + 0.000982263) * x1)) * 1.3084245"
15,2593.5828,"((-3.8526487e-5 / x1) + x2) / (x1 * (x3 + (x1 * 0.0034782817)))"
16,2410.3872,"x2 / (x1 * ((x3 + 0.0009094717) / ((x0 * 0.35089844) + sqrt(x2))))"
17,1782.8696,"x2 / ((x3 + 0.00095365697) * (x1 / sqrt(((x2 * x0) + x3) + x2)))"
18,1664.416,"x2 / (x1 * ((x3 / (x3 + sqrt((x0 + 0.9007003) * x2))) + 0.0007570685))"
19,1577.2717,"x2 / ((x3 + 0.0008964508) * (x1 / (sqrt(x3 + (sqrt(x0) * x2)) * 1.387287)))"
21,1569.8726,"(x2 / ((x1 * (x3 + 0.00089505856)) / (sqrt(x3 + (sqrt(x0) * x2)) * 1.3871707))) + x0"
22,1510.603,"(x2 / ((x3 + 0.0008999542) * (x1 / sqrt((x3 + (x2 * sqrt(x0))) * 1.9290124)))) + 7.073139"
23,1437.8351,"(x2 + x3) / (x1 * ((x3 + 0.0012143734) / sqrt((sqrt(x1) + ((x3 + x2) * x0)) * 1.9666369)))"
24,1338.0536,"(sqrt(sqrt(x0)) + ((0.28898653 - x1) * (((sqrt(x0) + x2) * ((x2 - x1) / x3)) * 2.1744914))) / x1"
25,1197.3468,"(x2 + x3) / ((x1 * (x3 + 0.001218946)) / sqrt((sqrt(x1 / x2) + ((x2 + x3) * x0)) * 1.9265997))"
27,1121.5372,"(x2 + x3) / ((x3 + 0.0012109024) * (x1 / sqrt(((x0 * (x2 + x3)) + sqrt(x1 / (x0 + x3))) * 1.9195111)))"
